conversation_id,message_id,customer_id,timestamp,promise_text,action,amount,deadline_text,normalized_deadline,detected_status,days_overdue,detected_broken_promise,fulfilled,fulfillment_message_id,fulfillment_similarity
CONV-000002,MSG-000002-01,CUST-0372,2026-03-03 09:34:00,"Looking at request 023757, I’ll trace the failed payment today.",trace the failed payment,,today,2026-03-03 00:00:00,overdue,189.68129562199076,1,False,,0.0
CONV-000002,MSG-000002-02,CUST-0372,2026-03-03 09:40:00,"On the current thread (031676), Let me call you with the outcome — today.",call you with the outcome,,today,2026-03-03 00:00:00,overdue,189.6812956227662,1,False,,0.0
CONV-000004,MSG-000004-02,CUST-0440,2026-04-01 08:53:00,"In this account context, I will ask our security team to verify the login tomorrow, then ill update u. thx",ask our security team to verify the login,,tomorrow,2026-04-02 00:00:00,overdue,159.6812956229398,1,False,,0.0
CONV-000004,MSG-000004-04,CUST-0440,2026-04-01 09:29:00,"Regarding reference 102947: Hi — Leave this with me — I’ll send the corrected invoice today, then I’ll update you.",send the corrected invoice,,today,2026-04-01 00:00:00,overdue,160.68129562304398,1,False,,0.0
CONV-000006,MSG-000006-03,CUST-0945,2026-07-19 22:49:00,"In this account context, I’ll make sure I restore the missing entitlement today, then I’ll update you.",restore the missing entitlement,,today,2026-07-19 00:00:00,overdue,51.68129562313658,1,False,,0.0
CONV-000007,MSG-000007-01,CUST-0277,2026-02-12 00:38:00,"Looking at request 174218, count on me to update the access settings later this week, then i’ll update you.",update the access settings,,this week,2026-02-18 00:00:00,overdue,202.68129562322918,1,False,,0.0
CONV-000008,MSG-000008-04,CUST-0726,2026-01-12 20:00:00,"On the support thread, i will ask our security team to verify the login — tomorrow.",ask our security team to verify the login,,tomorrow,2026-01-13 00:00:00,overdue,238.68129562332174,1,False,,0.0
CONV-000008,MSG-000008-06,CUST-0726,2026-01-12 20:29:01,"On the support thread, Hi — I can take this forward and coordinate the refund review tomorrow.",coordinate the refund review,,tomorrow,2026-01-13 00:00:00,overdue,238.68129562340275,1,False,,0.0
CONV-000008,MSG-000008-09,CUST-0726,2026-01-12 21:11:01,Quick note on ticket 269246: Leave this with me — ill trace the failed payment before the end of my shift. thx,trace the failed payment,,,,no_deadline,0.0,0,False,,0.0
CONV-000009,MSG-000009-02,CUST-0657,2026-01-27 09:15:00,Quick note on ticket 285084: Count on me to confirm the cancellation details — today.,confirm the cancellation details,,today,2026-01-27 00:00:00,overdue,224.68129562350694,1,False,,0.0
CONV-000010,MSG-000010-02,CUST-0178,2026-05-01 23:10:00,"On the support thread, I can take this forward and share the diagnostic notes — later this week.",share the diagnostic notes,,this week,2026-05-07 00:00:00,overdue,124.68129562358797,1,False,,0.0
CONV-000010,MSG-000010-07,CUST-0178,2026-05-02 00:20:00,Quick note on ticket 364274: i’ll check the delivery scan — later this week.,check the delivery scan,,this week,2026-05-08 00:00:00,overdue,123.68129562368055,1,False,,0.0
CONV-000012,MSG-000012-03,CUST-0416,2026-07-10 21:39:00,"On the support thread, Let me attach the requested export today.",attach the requested export,,today,2026-07-10 00:00:00,overdue,60.68129562376158,1,False,,0.0
